url_filter_id,title_key,hint_title,learn_more_url,lane,section,section_ui,severity_default,seo_tier,section_weight,archetype_num,archetype,owner,volume_sensitivity,base_size,notes_flag
head_element_contains_no_script_with_image,"<head> contains a <noscript> tag, which includes an image","<head> contains a <noscript> tag, which includes an image",https://sitebulb.com/hints/indexability/head-contains-a-noscript-tag-which-includes-an-image/,SEO triage,Indexability,Indexability,Critical,1,1,2,Template / theme edit,Developer,Flat,M,template emits invalid/extra head markup
contains_invalid_head_elements,<head> contains invalid html elements,<head> contains invalid HTML elements,https://sitebulb.com/hints/indexability/head-contains-invalid-html-elements/,SEO triage,Indexability,Indexability,Critical,1,1,2,Template / theme edit,Developer,Flat,M,template emits invalid/extra head markup
canonical_link_has_invalid_attributes,canonical contains invalid html attributes,Canonical contains invalid HTML attributes,https://sitebulb.com/hints/indexability/canonical-contains-invalid-html-attributes/,SEO triage,Indexability,Indexability,Critical,1,1,2,Template / theme edit,Developer,Flat,M,canonical generation/placement — template/logic fix
canonical_outside_of_head,canonical outside of head,Canonical outside of head,https://sitebulb.com/hints/indexability/canonical-outside-of-head/,SEO triage,Indexability,Indexability,Critical,1,1,2,Template / theme edit,Developer,Flat,M,template placement bug
canonical_points_to_http,canonical points to http version,Canonical points to HTTP version,https://sitebulb.com/hints/indexability/canonical-points-to-http-version/,SEO triage,Indexability,Indexability,Critical,1,1,5,Per-instance code / markup fix,Developer,Banded (soft),M,per-instance; collapse to one template/logic fix if systematic (A2)
disallowed_javascript_files,disallowed javascript file,Disallowed JavaScript file,https://sitebulb.com/hints/indexability/disallowed-javascript-file/,SEO triage,Indexability,Indexability,Critical,1,1,1,Global config / directive,Dev / config-capable SEO,Flat,S,unblock in robots.txt
disallowed_style_sheets,disallowed style sheet,Disallowed Style Sheet,https://sitebulb.com/hints/indexability/disallowed-style-sheet/,SEO triage,Indexability,Indexability,Critical,1,1,1,Global config / directive,Dev / config-capable SEO,Flat,S,unblock in robots.txt
disallowed_images,disallowed image,Disallowed image,https://sitebulb.com/hints/indexability/disallowed-image/,SEO triage,Indexability,Indexability,Critical,1,1,1,Global config / directive,Dev / config-capable SEO,Flat,S,unblock in robots.txt
internal_html_exceeds_google_file_size_limit,html file size exceeds google's 2mb limit,HTML file size exceeds Google's 2MB limit,https://sitebulb.com/hints/indexability/html-file-size-exceeds-googles-2mb-limit/,SEO triage,Indexability,Indexability,Critical,1,1,6,Performance / Core Web Vitals,Developer,Banded (soft),L,page-weight / performance
robots_meta_in_body,meta robots found outside of <head>,Meta robots found outside of <head>,https://sitebulb.com/hints/indexability/meta-robots-found-outside-of-head/,SEO triage,Indexability,Indexability,Critical,1,1,2,Template / theme edit,Developer,Flat,M,template placement bug
canonical_has_superfluous_attributes,canonical contains superfluous html attributes,Canonical contains superfluous HTML attributes,https://sitebulb.com/hints/indexability/canonical-contains-superfluous-html-attributes/,SEO triage,Indexability,Indexability,High,1,1,2,Template / theme edit,Developer,Flat,M,canonical generation/placement — template/logic fix
